Model Name,Max Input Length,Max Output Length,Total Tokens Per Second,GPU Name,TP,PP,Mem Per GPU GB
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,4096,1024,,NVIDIA L40S,4,3,48
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,4096,4096,,NVIDIA L40S,4,3,48
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,4096,8192,,NVIDIA L40S,4,3,48
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,10000,1024,,NVIDIA L40S,4,3,48
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,10000,4096,,NVIDIA L40S,4,3,48
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,10000,8192,,NVIDIA L40S,4,3,48
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,32000,1024,,NVIDIA L40S,4,3,48
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,32000,4096,,NVIDIA L40S,4,3,48
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,32000,8192,,NVIDIA L40S,4,3,48
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,4096,1024,,NVIDIA L40S,4,4,48
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,4096,4096,,NVIDIA L40S,4,4,48
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,4096,8192,,NVIDIA L40S,4,4,48
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,10000,4096,,NVIDIA L40S,4,4,48
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,10000,7000,,NVIDIA L40S,4,4,48
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,30000,1024,,NVIDIA L40S,4,4,48
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,30000,4096,,NVIDIA L40S,4,4,48
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,30000,7000,,NVIDIA L40S,4,4,48
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,4096,1024,,NVIDIA L40S,8,1,48
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,4096,4096,,NVIDIA L40S,8,1,48
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,4096,7000,,NVIDIA L40S,8,1,48
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,10000,1024,,NVIDIA L40S,8,1,48
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,10000,4096,,NVIDIA L40S,8,1,48
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,10000,7000,,NVIDIA L40S,8,1,48
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,30000,1024,,NVIDIA L40S,8,1,48
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,30000,4096,,NVIDIA L40S,8,1,48
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,30000,7000,,NVIDIA L40S,8,1,48
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,4096,1024,,NVIDIA L40S,8,2,48
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,4096,4096,,NVIDIA L40S,8,2,48
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,4096,7000,,NVIDIA L40S,8,2,48
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,10000,1024,,NVIDIA L40S,8,2,48
