metric,value
job_start_timestamp,2026-02-17T19:42:13.421396
job_end_timestamp,2026-02-17T19:57:24.870960
total_runtime_sec,911.4495
model_load_time_sec,846.0077
generation_time_sec,62.6478
num_requests,100
total_input_tokens,4320
avg_input_tokens,43.2000
p50_input_tokens,46.0000
p90_input_tokens,52.0000
p99_input_tokens,52.0000
min_input_tokens,30
max_input_tokens,52
total_output_tokens,11151
avg_output_tokens,111.5100
p50_output_tokens,47.0000
p90_output_tokens,256.0000
p99_output_tokens,256.0000
min_output_tokens,26
max_output_tokens,256
total_tokens,15471
throughput_requests_per_sec,1.5962
throughput_tokens_per_sec,246.9521
throughput_output_tokens_per_sec,177.9951
model_name,Qwen/Qwen2.5-72B-Instruct
quantization,none
cloud_provider,aws
instance_type,g6e.xlarge
gpu_name,L40S
engine,vllm
tensor_parallel_size,1
pipeline_parallel_size,4
max_model_len,1024
max_num_seqs,32
gpu_memory_utilization,0.9000
dtype,auto
kv_cache_dtype,auto
use_async_engine,True
