metric,value
job_start_timestamp,2026-02-17T03:09:43.611626
job_end_timestamp,2026-02-17T03:12:28.766220
total_runtime_sec,165.1545
model_load_time_sec,107.8863
generation_time_sec,54.6446
num_requests,100
total_input_tokens,4320
avg_input_tokens,43.2000
p50_input_tokens,46.0000
p90_input_tokens,52.0000
p99_input_tokens,52.0000
min_input_tokens,30
max_input_tokens,52
total_output_tokens,11235
avg_output_tokens,112.3500
p50_output_tokens,46.0000
p90_output_tokens,256.0000
p99_output_tokens,256.0000
min_output_tokens,27
max_output_tokens,256
total_tokens,15555
throughput_requests_per_sec,1.8300
throughput_tokens_per_sec,284.6574
throughput_output_tokens_per_sec,205.6011
model_name,Qwen/Qwen2.5-72B-Instruct
quantization,none
cloud_provider,aws
instance_type,g6e.24xlarge
gpu_name,L40S
engine,vllm
tensor_parallel_size,4
pipeline_parallel_size,1
max_model_len,1024
max_num_seqs,32
gpu_memory_utilization,0.9000
dtype,auto
kv_cache_dtype,auto
