Family,Instance_Type,vCPU,GPU_Type,VRAM_per_GPU,Total_VRAM,Family_Type,ap-northeast-1_on_demand,ap-northeast-1_spot,ap-northeast-2_on_demand,ap-northeast-2_spot,ap-northeast-3_on_demand,ap-northeast-3_spot,ap-south-1_on_demand,ap-south-1_spot,ap-southeast-1_on_demand,ap-southeast-1_spot,ap-southeast-2_on_demand,ap-southeast-2_spot,ca-central-1_on_demand,ca-central-1_spot,eu-central-1_on_demand,eu-central-1_spot,eu-north-1_on_demand,eu-north-1_spot,eu-west-1_on_demand,eu-west-1_spot,eu-west-2_on_demand,eu-west-2_spot,eu-west-3_on_demand,eu-west-3_spot,sa-east-1_on_demand,sa-east-1_spot,us-east-1_on_demand,us-east-1_spot,us-east-2_on_demand,us-east-2_spot,us-west-1_on_demand,us-west-1_spot,us-west-2_on_demand,us-west-2_spot
G3,g3.16xlarge,64,4x M60,8.0,32.0,G,8,64,8,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,8,0,0,0,0,0,0,0,1000,256,128,128,128,1000,128,128
G3,g3.4xlarge,16,1x M60,8.0,8.0,G,8,64,8,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,8,0,0,0,0,0,0,0,1000,256,128,128,128,1000,128,128
G3,g3.8xlarge,32,2x M60,8.0,16.0,G,8,64,8,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,8,0,0,0,0,0,0,0,1000,256,128,128,128,1000,128,128
G4ad,g4ad.16xlarge,64,4x Radeon Pro V520,8.0,32.0,G,8,64,8,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,8,0,0,0,0,0,0,0,1000,256,128,128,128,1000,128,128
G4ad,g4ad.2xlarge,8,1x Radeon Pro V520,8.0,8.0,G,8,64,8,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,8,0,0,0,0,0,0,0,1000,256,128,128,128,1000,128,128
G4ad,g4ad.4xlarge,16,1x Radeon Pro V520,8.0,8.0,G,8,64,8,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,8,0,0,0,0,0,0,0,1000,256,128,128,128,1000,128,128
G4ad,g4ad.8xlarge,32,2x Radeon Pro V520,8.0,16.0,G,8,64,8,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,8,0,0,0,0,0,0,0,1000,256,128,128,128,1000,128,128
G4ad,g4ad.xlarge,4,1x Radeon Pro V520,8.0,8.0,G,8,64,8,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,8,0,0,0,0,0,0,0,1000,256,128,128,128,1000,128,128
G4dn,g4dn.12xlarge,48,4x T4,16.0,64.0,G,8,64,8,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,8,0,0,0,0,0,0,0,1000,256,128,128,128,1000,128,128
G4dn,g4dn.16xlarge,64,1x T4,16.0,16.0,G,8,64,8,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,8,0,0,0,0,0,0,0,1000,256,128,128,128,1000,128,128
G4dn,g4dn.2xlarge,8,1x T4,16.0,16.0,G,8,64,8,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,8,0,0,0,0,0,0,0,1000,256,128,128,128,1000,128,128
G4dn,g4dn.4xlarge,16,1x T4,16.0,16.0,G,8,64,8,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,8,0,0,0,0,0,0,0,1000,256,128,128,128,1000,128,128
G4dn,g4dn.8xlarge,32,1x T4,16.0,16.0,G,8,64,8,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,8,0,0,0,0,0,0,0,1000,256,128,128,128,1000,128,128
G4dn,g4dn.metal,96,8x T4,16.0,128.0,G,8,64,8,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,8,0,0,0,0,0,0,0,1000,256,128,128,128,1000,128,128
G4dn,g4dn.xlarge,4,1x T4,16.0,16.0,G,8,64,8,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,8,0,0,0,0,0,0,0,1000,256,128,128,128,1000,128,128
G5,g5.12xlarge,48,4x A10G,22.0,88.0,G,8,64,8,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,8,0,0,0,0,0,0,0,1000,256,128,128,128,1000,128,128
G5,g5.16xlarge,64,1x A10G,22.0,22.0,G,8,64,8,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,8,0,0,0,0,0,0,0,1000,256,128,128,128,1000,128,128
